timestamp,b2d_x,b3d_x,b4d_x,b1d_x,wearabletimestamp,b1d_y,b2d_y,b3d_y,b4d_y,xa,ya,za,Error1,Error2,Error3,Error4
1900-01-01 11:19:50,10.0,41.23,41.23,10.0,151389,8.791964023547168,20.73965163333605,47.517621459050844,48.61372585604466,596,31,-651,-1.2080359764528321,10.739651633336049,6.287621459050847,7.383725856044663
1900-01-01 11:19:57,11.2,36.4,36.4,11.2,158974,8.961883110127802,15.818983289019718,45.33296186458052,47.13177953861718,-717,105,251,-2.238116889872197,4.618983289019718,8.93296186458052,10.731779538617182
1900-01-01 11:20:04,14.14,31.62,31.62,14.14,165688,9.112973384533515,14.406711487757791,41.41887376911313,43.59365688753679,-878,31,203,-5.027026615466486,0.2667114877577905,9.798873769113126,11.973656887536787
1900-01-01 11:20:11,18.03,26.93,26.93,18.03,172635,9.810113941461646,14.784220884505803,36.929505918966676,38.65862884675,-1031,-23,168,-8.219886058538355,-3.245779115494198,9.999505918966676,11.728628846749999
1900-01-01 11:20:18,22.4,22.4,22.4,22.4,180090,12.087653170098474,17.415788006385835,31.67503745563478,33.95700560558964,-902,-19,-129,-10.312346829901525,-4.984211993614164,9.27503745563478,11.557005605589644
1900-01-01 11:20:25,26.93,18.03,18.03,26.93,187117,16.174387025509574,20.47593897875756,27.75703980770662,29.030253067703196,-921,3,156,-10.755612974490425,-6.454061021242438,9.727039807706618,11.000253067703195
1900-01-01 11:20:33,31.62,14.14,14.14,31.62,195067,23.804510971234613,24.997071222368607,25.07442452550371,23.404153371259376,-945,160,129,-7.815489028765388,-6.622928777631394,10.934424525503708,9.264153371259376
1900-01-01 11:20:40,36.4,11.2,11.2,36.4,202317,27.638304882786606,29.650786312757067,25.107952986234313,19.85042197529249,-945,160,129,-8.761695117213392,-6.749213687242932,13.907952986234314,8.650421975292492
1900-01-01 11:20:48,41.23,10.0,10.0,41.23,209938,35.147225520583056,35.315635252488875,19.08173869813631,16.08734627066313,-921,78,27,-6.0827744794169405,-5.914364747511122,9.08173869813631,6.087346270663129
1900-01-01 11:20:55,36.4,11.2,11.2,36.4,216433,41.58864430885094,36.16112522552158,18.506346410129574,14.503760675536263,-921,78,27,5.1886443088509395,-0.23887477447841832,7.306346410129574,3.303760675536264
1900-01-01 11:21:02,31.62,14.14,14.14,31.62,223827,45.288372526190116,37.88562074228835,17.463133637473952,12.847485168776316,-890,-35,223,13.668372526190115,6.265620742288352,3.3231336374739513,-1.2925148312236843
1900-01-01 11:21:09,26.93,18.03,18.03,26.93,230724,41.84802475511392,37.6405598046147,15.618040859139713,13.80372772607211,-921,-19,-31,14.918024755113919,10.710559804614704,-2.4119591408602883,-4.226272273927892
1900-01-01 11:21:16,22.4,22.4,22.4,22.4,237746,35.735414069431506,34.52984590752404,16.222031247002473,17.24917852683802,-1121,-105,541,13.335414069431508,12.129845907524043,-6.177968752997526,-5.1508214731619795
1900-01-01 11:21:23,20.62,20.62,25.0,25.0,244749,29.48826634899337,30.207632349186824,22.668172429596947,22.22868178477935,-1015,266,231,4.4882663489933705,9.587632349186823,2.0481724295969457,-2.7713182152206493
1900-01-01 11:21:30,15.81,25.5,29.2,21.21,252363,25.356251977690953,26.900150848314716,29.551984208924395,29.132718802092096,-1015,266,231,4.146251977690952,11.090150848314716,4.051984208924395,-0.06728119790790288
1900-01-01 11:21:37,18.03,18.03,18.03,18.03,259333,23.391223480344365,23.395327846752043,33.10548087039351,39.382889493573224,-890,-219,211,5.361223480344364,5.3653278467520416,15.075480870393505,21.352889493573223
1900-01-01 11:21:44,21.21,29.2,25.5,15.81,266238,21.47245619272519,21.666756764772234,30.887634574701522,35.076207665292344,-819,101,-109,5.662456192725189,0.4567567647722335,1.687634574701523,9.576207665292344
1900-01-01 11:21:51,25.0,25.0,20.62,20.62,272734,19.592799708503918,22.895572373908358,27.437710085979788,31.364103226929146,-1035,94,262,-1.027200291496083,-2.104427626091642,2.4377100859797878,10.744103226929145
1900-01-01 11:21:57,22.4,22.4,22.4,22.4,279405,19.175552770170786,24.568297345001564,24.62050185939331,29.31168755390879,-964,109,-70,-3.224447229829213,2.168297345001566,2.2205018593933126,6.911687553908791
1900-01-01 11:22:04,18.03,26.93,26.93,18.03,286119,19.573793848628608,24.994851813329884,24.05133763294662,29.071562835367637,-964,109,-70,1.5437938486286065,6.964851813329883,-2.87866236705338,2.141562835367637
1900-01-01 11:22:11,14.14,31.62,31.62,14.14,293215,19.93571589679969,23.36232575931872,25.611972203589893,43.43739180862053,-851,90,66,5.795715896799688,9.222325759318718,-6.008027796410108,11.817391808620531
1900-01-01 11:22:17,11.2,36.4,36.4,11.2,299197,20.121847774833242,21.20204193589031,29.748051778285753,58.53165918688292,-851,90,66,8.921847774833243,10.002041935890311,-6.651948221714246,22.13165918688292
1900-01-01 11:22:24,10.0,41.23,41.23,10.0,306379,17.776077445441928,18.131974014820955,41.31755694644445,82.1534225407352,-1423,78,-90,7.776077445441928,8.131974014820955,0.087556946444451,40.92342254073521
